Province,Title,Rating,Price,Address,Phone,Link,Service,Image
An Giang,Quán Ăn Hương Ánh,5,,"8FW5+XWF, Trần Quang Khải, P. Mỹ Thới, Thành phố Long Xuyên, An Giang, Vietnam",+84 985 394 169,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMe5srzRUPvU38EDfi30wbMQkVrNYQJk12wsIzG=w92-h92-k-no
An Giang,Quán Cơm Thúy An,4.3,,"Ng. 181 Võ Thị Sáu, Phường Mỹ Xuyên, Thành phố Long Xuyên, An Giang, Vietnam",,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOkl-ox1ewQqTdaOaoPvpJqFR6YbJwU_BnG5TxE=w80-h142-k-no
An Giang,Quán nhậu cây Dừa,4.5,,"C94P+V6, P. Bình Đức, Thành phố Long Xuyên, An Giang, Vietnam",+84 913 130 250,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMAOrMkb37ZBWASBS-JjrLK3adho_NfL6xSQ5_T=w80-h106-k-no
An Giang,Quán Bờ Sông,3.9,,"6/1A Bùi Văn Danh, Mỹ Hoà, Thành phố Long Xuyên, An Giang, Vietnam",+84 296 3921 818,http://facebook.com/quanbosonglxag,"[['Outdoor seating', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNafOXe0Fg6uUH5nDa2uy0tsZBZerZZHT_HxE8v=w163-h92-k-no
Bà Rịa – Vũng Tàu,Quán 3 Cây Bàng,4.1,$$,"Đường 31, Hoà Long, Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam",+84 254 3821 616,,"[['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPpS25mZi-MGkbNDiEPa3dedkx6t_T0ygbN7klW=w122-h92-k-no
Bà Rịa – Vũng Tàu,Nhà Hàng Gia | Bà Rịa Vũng Tàu,4.6,,"595 Phạm Văn Đồng, Phước Nguyễn, Bà Rịa, Bà Rịa - Vũng Tàu 000084, Vietnam",+84 933 412 929,,"[['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOQuggRt8LvtdWQjLK_gtLIrRjZHaVHRUSyiJW8=w163-h92-k-no
Bà Rịa – Vũng Tàu,Quán Sáu Mai,3.9,$,"1989, Điện Biên Phủ, Phường Phước Hiệp, Bà Rịa - Vũng Tàu, Vietnam",+84 898 907 908,,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOYKW8D_OosyOoSuBc2eQFW6RTrNjA3xjWTKeXt=w122-h92-k-no
Bà Rịa – Vũng Tàu,Miss. Nga Fish Springroll,4.4,"₫1–100,000","H6F5+V3G, Đường số 43, Nghĩa Thành, Châu Đức, Bà Rịa - Vũng Tàu, Vietnam",+84 982 981 207,,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipO2BkxWAzNkUuqmySMWjPOjAySePi2WRMqi2oUN=w122-h92-k-no
Bà Rịa – Vũng Tàu,Vịt Nhã Phương - Món ăn ngon Bà Rịa,4.3,,"141 Điện Biên Phủ, Phước Nguyễn, Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam",+84 902 656 762,,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPopz5NA8qEAYb_qfVN-m2QIz3Tha8YBHbELUpl=w138-h92-k-no
Bà Rịa – Vũng Tàu,Truong Cua Restaurant,4.1,$$,"18 Hoàng Hoa Thám, Long Tâm, Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam",+84 988 222 774,,"[['Outdoor seating', 'Curbside pickup', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMuVk_feMvvVjaaqtFjhSNjzHQDeTwlqcv8qS3y=w122-h92-k-no
Bà Rịa – Vũng Tàu,Dê Gia Phát 8,5,,"G684+6PC, Đ. Võ Văn Kiệt, Hoà Long, Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam",+84 989 496 771,,"[['Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOA1c7WqIRBLflx1-whtIfJpLVRhUCELa1yXb9l=w80-h106-k-no
Bà Rịa – Vũng Tàu,Quan Oc Gai,4,$$,"252 Nguyễn Văn Linh, Phước Nguyễn, Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam",+84 925 505 152,,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMmv__hRJn3esBOGRhx90cqhJkm508rwy4IuAYd=w122-h92-k-no
Bà Rịa – Vũng Tàu,Lẩu Măng Khánh Hà BÀ RỊA,4.4,,"455/2 Cách Mạng Tháng Tám, Phước Nguyễn, Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam",+84 937 886 680,https://www.foody.vn/vung-tau/khanh-ha-lau-mang,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMbUNcduCvwQ_iAi3EBz31QmrZP0IXGY8IFRxyY=w122-h92-k-no
Bà Rịa – Vũng Tàu,BÁNH CANH LONG HƯƠNG - Cổng chào thành phố Bà Rịa,3.9,"₫1–100,000","11 Cách Mạng Tháng Tám, Long Hương, Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam",+84 254 3827 453,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMPoukJFnTrubaOupQBdRDZpZP7nTTo5205xvho=w163-h92-k-no
Bà Rịa – Vũng Tàu,Nhà Hàng Bờ Sông,3.8,$$,"1100 QL51, Phước Thái, Long Thành, Bà Rịa - Vũng Tàu 78000, Vietnam",+84 937 197 474,,"[['Outdoor seating', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOpDDEPbp6TBYPD4hJAM1FIxv6ArCOpPVNmhW4m=w163-h92-k-no
Bà Rịa – Vũng Tàu,Bánh hỏi An Nhứt,4.1,"₫1–100,000","F6PW+HPJ, QL55, An Nhứt, Long Điền, Bà Rịa - Vũng Tàu, Vietnam",+84 254 3862 359,,"[['Outdoor seating', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMAIO64hkcPkBhHH0D7C8wB_VUOMKT18F-DintG=w163-h92-k-no
Bà Rịa – Vũng Tàu,Quán chả giò cá Bà Rịa,4.3,"₫1–100,000","143 Nguyễn Văn Linh, Phước Nguyễn, Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam",,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPcKgjJRnqGCqN5S78RwdrtdhfQLPX6PVar3qEA=w122-h92-k-no
Bà Rịa – Vũng Tàu,NHÀ HÀNG SÂN VƯỜN SAIGONOK,4,,"34 Cách Mạng Tháng Tám, Long Hương, Bà Rịa, Bà Rịa - Vũng Tàu 790000, Vietnam",+84 254 3824 769,,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMg_mtFK_25ETx3DvX3erVQ7scM4atbYPcwhY53=w163-h92-k-no
Bà Rịa – Vũng Tàu,THO-R Restaurant - Ẩm thực châu Âu nguyên liệu Việt,3.6,,"345 đường Nguyễn Văn Linh, Phước Nguyễn, Bà Rịa, Bà Rịa - Vũng Tàu 78150, Vietnam",,https://www.facebook.com/THOR.Restaurant,"[['No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPepmBbVbQjIdSDxIwEnAPhLZ8l3eNTFKnrdbA=w122-h92-k-no
Bà Rịa – Vũng Tàu,Quán Cơm Niêu Hoa Sữa Bà Rịa,3.6,,"568 Phạm Hùng, Phước Trung, Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam",+84 983 627 562,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipO_ssA04BjX71RetlfOibLoeY2DlzohHe1HiPMF=w122-h92-k-no
Bà Rịa – Vũng Tàu,Bánh canh Cô Ninh - Đặc sản Miền Trung,4,,"98B Lê Duẩn, Phước Nguyễn, Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam",,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMwSMtZSBQMbNel0KkUtCwWAxeTifv5rdjwj7-6=w122-h92-k-no
Bà Rịa – Vũng Tàu,Ẩm thực sân vườn MÁI LÁ,4.7,,"Đường Số 16, Tân Hưng, Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam",+84 931 222 730,,"[['Outdoor seating', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMj-Jd48Br_soTN0mbojGuq_Jgd9HP2kylx2JDT=w122-h92-k-no
Bà Rịa – Vũng Tàu,Quán ăn sáng nhung,4.5,,"411 Huỳnh Tấn Phát, Phước Hiệp, Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam",,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipN3YEvokUoW0WXkU2rgIt0DlTxgUVZ_NKEXCD7J=w204-h92-k-no
Bà Rịa – Vũng Tàu,The Seven Island Ecolodge,3.6,,"đường số 9N, ấp Phước Hữu, xã, Long Phước, Tp. Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam",+84 976 176 500,https://tuphuongthatdao.com/,"[['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMWYglF8u3Ryrw0ma9Z5QDLoF5525kHR0SHgrlK=w122-h92-k-no
Bạc Liêu,Đặc sản BÁNH CANH CUA - Coffee & quán ăn NGÂN THẢO,4.9,"₫1–100,000","464 Trần Phú, Khóm 1, Bạc Liêu, Vietnam",+84 909 790 737,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipO1gLJKQT6zjne3w5Ar0aZrwyKK_3YENWbk6Zo7=w122-h92-k-no
Bạc Liêu,Bún xào nem nướng Băng Tâm (ngon),4.5,"₫1–100,000","516 Võ Thị Sáu, Phường 3, Bạc Liêu, Vietnam",+84 919 646 498,,"[['Outdoor seating', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMB8kTj8dUcjoIDc1GWbY3E7nobERsX0IPMJ_Gn=w163-h92-k-no
Bạc Liêu,Nhà hàng Thuyền Trăng Quán,4.1,,"128 Võ Thị Sáu, Phường 8, Bạc Liêu, Vietnam",+84 291 3822 888,,"[['Outdoor seating', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPPG-aNkAyEZEnYzZLDsY4i3hJzmFE84s9KGo-E=w122-h92-k-no
Bạc Liêu,Mam Lau Hong Gam,4,$$,"Đường Tỉnh Lộ 38/3/225b Nguyễn Thị Minh Khai, Phường 5, Bạc Liêu, Vietnam",+84 291 3821 237,http://www.facebook.com/laumamhonggambaclieu,"[['No-contact delivery', 'Delivery', 'In-store pickup', 'Takeout', 'Dine-in', 'Same-day delivery']]",https://lh5.googleusercontent.com/p/AF1QipMONye3a9aUSWoqGVh6OTrZ5eLKDmSJH7brorJB=w122-h92-k-no
Bạc Liêu,Ẩm Thực Bạc Liêu,4.6,,"38B/4, Khóm 2, Bạc Liêu, Vietnam",+84 945 675 695,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMwWwGvktk5ku32YHMcJ5T_Gben38vwMw4_Q4W7=w122-h92-k-no
Bạc Liêu,Bánh củ cải,4.3,,"142 Cách Mạng, Phường 1, Bạc Liêu, Vietnam",,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPNCA9hd-hCHDRCJhICj2m6CeKsg3OyLBt9lCAc=w80-h106-k-no
Bạc Liêu,Nem Nướng Tư Vân,4.4,"₫1–100,000","20 Hà Huy Tập, Phường 3, Bạc Liêu, Vietnam",+84 939 553 980,,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPAFi8qrpfQv5iM6f1u9QwNQHB2pZy1d9_GTk8O=w163-h92-k-no
Bạc Liêu,BÚN BÒ CAY 999 ĐẶC SẢN BẠC LIÊU,5,,"Sau lưng trường công lập, Đường Hoà bình nối dài, Bạc Liêu, 84291, Vietnam",+84 919 627 474,,"[['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipP6OFzqmpM06SzCRUowDqcFAhTWrVW1sFzhX5dZ=w122-h92-k-no
Bạc Liêu,Ẩm thực sân vườn Ba Lúa,4,,"192 23 Tháng 8, Phường 8, Bạc Liêu, Vietnam",+84 291 3696 789,,"[['Outdoor seating', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNAK6afChO-Ostd-PfZRw747oZioI0gcwGY7wC6=w122-h92-k-no
Bạc Liêu,Quan 58 Hotel,4,,"187 Hoàng Diệu, Phường 1, Bạc Liêu, Vietnam",+84 949 484 458,http://quan58baclieu.com/,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOvrNImALesHQKIhW1GCrrWBrHoP9jvU0Y_L4O-=w122-h92-k-no
Bạc Liêu,Đặc Sản Bạc Liêu,4.1,,"6PCQ+H33, Phường Nhà Mát, Bạc Liêu, Vietnam",+84 946 588 559,,"[['Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipM6AYcIeLTCPSMMLuSa5ERjxmwWl-jW_0QvAfZv=w147-h92-k-no
Bạc Liêu,Bún nước lèo Tân Mộng Thường,4.6,"₫1–100,000","166 Võ Thị Sáu, Phường 8, Bạc Liêu, Vietnam",+84 943 183 010,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOaGVMtHl0m68OIdb8amx1OWVPujUdeEdlt9h8i=w163-h92-k-no
Bạc Liêu,Nhà Hàng Gia Lạc,4.9,,"phan văn xoàn, Phường 2, Bạc Liêu, 970000, Vietnam",+84 919 447 777,,"[['Outdoor seating', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipO3-eJxS6Kf6fL2Bt6_akbfrK9lG7xuJu_fN1KH=w135-h92-k-no
Bạc Liêu,Bún nước lèo Năm Hớn,4,"₫1–100,000","649 Trần Phú, Phường 7, Bạc Liêu, Vietnam",,,"[['Outdoor seating', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOVIz4ZkKA_YarZ8FFJa2f_1bHeWuXZPhbYFWo1=w122-h92-k-no
Bạc Liêu,Đặc sản bánh canh Trần Mai,5,,"37d 4 Trần Huỳnh, Phường 3, Bạc Liêu, 84291, Vietnam",,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOVIz4ZkKA_YarZ8FFJa2f_1bHeWuXZPhbYFWo1=w122-h92-k-no
Bạc Liêu,Phở Hà Nội Thịnh Đạt,4,"₫1–200,000","137/5 Đ. Võ Văn Kiệt, Phường 1, Bạc Liêu, Vietnam",+84 918 621 383,https://www.facebook.com/profile.php?id=61550217446490,[None],https://lh5.googleusercontent.com/p/AF1QipOGxT7jdMSYWx2Kb2b2Pco_tsGjz6XV1SkldWqA=w163-h92-k-no
Bạc Liêu,Bún Bò Cay Bạc Liêu ÁNH NGUYỆT,3.9,"₫1–100,000","119 Cao Văn Lầu, Phường 5, Bạc Liêu, Vietnam",+84 917 449 998,,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipM7ghO2FlvVSvjguHpVBnherEAVNUri26GkDYVO=w92-h92-k-no
Bạc Liêu,Quán Cơm 63,4.1,,"63 Đường Lý Thường Kiệt, Phường 3, Bạc Liêu, Vietnam",+84 291 3823 152,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNyy-Q4NIqqtRpMTLlMHLeLT9eBAL38wXrp8Yti=w122-h92-k-no
Bạc Liêu,GoGi House Go Bạc Liêu,4.9,,"TTTM Go, 23 Tháng 8, Phường 7, Bạc Liêu, 260000, Vietnam",+84 291 7300 338,https://gogi.com.vn/,[['Dine-in']],https://lh5.googleusercontent.com/p/AF1QipPpTBIvKfxu6txiVOXkgM2a5yeeYr494lzuSWBQ=w122-h92-k-no
Bạc Liêu,Quán Ăn Ẩm Thực 62,4.4,,"Phường 2, Bạc Liêu, Vietnam",+84 919 927 425,,"[['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPWdJvbPvCP7FzP-3V2nGf3sGSotD68WLrtfa84=w80-h106-k-no
Bắc Giang,Đặc Sản Chè Bà Năm,4.3,,"19 Tiền Giang, Phường Lê Lợi, Bắc Giang, Vietnam",+84 987 124 034,,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNvV1L4yhcXzt-vNrNSItbUxHt3yLr_6x16-ULy=w80-h169-k-no
Bắc Giang,Nhà hàng Sáu - Đặc sản Cháo Miến Lươn,4.1,"₫1–100,000","52 Nguyễn Văn Mẫn, Phường Trần Phú, Bắc Giang, 23000, Vietnam",+84 915 158 258,https://www.facebook.com/Nh%C3%A0-h%C3%A0ng-S%C3%A1u-%C4%90%E1%BA%B7c-s%E1%BA%A3n-Ch%C3%A1o-Mi%E1%BA%BFn-L%C6%B0%C6%A1n-1926017717711981/,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNDbNGhpQBk8ICNS__fO1g2CFg8FWsbQGJ5Yey8=w80-h106-k-no
Bắc Giang,Lẩu Nấm Hoàng Phố - TP. Bắc Giang ( CN CÔNG TY CP DỊCH VỤ GOLDSUN),4.1,,"269 Nguyễn Thị Minh Khai, Dĩnh Kế, Bắc Giang, 26120, Vietnam",+84 915 899 696,http://launamhoangpho.vn/,"[['Curbside pickup', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMc4BsRPgaoZ4OTTonLy5ec5-SmonLlMKhSmG7q=w122-h92-k-no
Bắc Giang,Nhà Hàng Hải Sản Ghẹ Xanh Bắc Giang,4.5,,"3 Hùng Vương 1, Phường Lê Lợi, Bắc Giang, Vietnam",+84 916 884 848,https://haisanghexanh.com/,[None],https://lh5.googleusercontent.com/p/AF1QipOWGgaIpkmPSBdwhC_VSe49ojlv4ALuOwCUnzjj=w122-h92-k-no
Bắc Giang,Nhà Hàng Đặc Sản Chim,4.2,,"35 Đ. Mai Sẫu, Đa Mai, Bắc Giang, Vietnam",+84 204 3857 060,,"[['Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPIhi6_KDXafUadync8OhahNA_DfJxTnIET9HsI=w80-h106-k-no
Bắc Giang,Nhà Hàng Cua Đỏ,4.5,,"64 Châu Xuyên, Phường Lê Lợi, Bắc Giang, Vietnam",+84 848 288 388,,"[['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOZ9sdIjDPgaizo2dUl_WXcGNYsvCm4jzyleWTI=w122-h92-k-no
Bắc Giang,Bắc Giang. Trâu tươi Anh Đào 36,4.1,,"ngõ 62 Lý Tự Trọng, Xương Giang, Bắc Giang, Vietnam",+84 914 627 234,https://www.facebook.com/nhahanganhdao36,"[['Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNzWRSOTqY3TOmWHuyAZPjbt_O1i5Y99hJHnyW9=w122-h92-k-no
Bắc Giang,Đặc Sản Chè Bà Năm,4.3,,"19 Tiền Giang, Phường Lê Lợi, Bắc Giang, Vietnam",+84 987 124 034,,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNvV1L4yhcXzt-vNrNSItbUxHt3yLr_6x16-ULy=w80-h169-k-no
Bắc Giang,Nhà hàng Sáu - Đặc sản Cháo Miến Lươn,4.1,"₫1–100,000","52 Nguyễn Văn Mẫn, Phường Trần Phú, Bắc Giang, 23000, Vietnam",+84 915 158 258,https://www.facebook.com/Nh%C3%A0-h%C3%A0ng-S%C3%A1u-%C4%90%E1%BA%B7c-s%E1%BA%A3n-Ch%C3%A1o-Mi%E1%BA%BFn-L%C6%B0%C6%A1n-1926017717711981/,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNDbNGhpQBk8ICNS__fO1g2CFg8FWsbQGJ5Yey8=w80-h106-k-no
