province,title,rating,description,address,img,types,Link,
Bình ??nh,Núi Bà Ho?,4.4,Tham Quan V??n Thú ??i Nam || Khu Du L?ch ??i Nam || Quê Tôi Mi?n ?ông - YouTube,"Q6H9+X54, Lê H?ng Phong, Quy Nh?n, Bình ??nh, Vi?t Nam",https://i.ytimg.com/vi/jay6WfpFp2w/maxresdefault.jpg,['?i?m thu hút khách du l?ch'],https://www.youtube.com/watch?v=jay6WfpFp2w,
Bình ??nh,Khu DU L?CH C?a Bi?n,3.7,KHU DU L?CH ??T CH?M PA - DU L?CH D?U TI?NG - YouTube,"H?i S?n, Quy Nh?n, Bình ??nh 59000, Vi?t Nam",https://i.ytimg.com/vi/IEneGwAnLco/maxresdefault.jpg,"['?i?m thu hút khách du l?ch', 'Khu v?c n??ng', 'Khu c?m tr?i', 'Khu tr? em', 'Khu b? b?i', 'Khách s?n ngh? d??ng', 'Công viên gia?i trí']",https://www.youtube.com/watch?v=IEneGwAnLco,
Bình ??nh,??nh núi Bà H?a,4.5,B?ng L?ng Glamping Bình D??ng | TikTok,"Q6G6+P59, Quang Trung, Quy Nh?n, Bình ??nh, Vi?t Nam",https://www.tiktok.com/api/img/?itemId=7474056475833371911&location=0&aid=1988,['?i?m thu hút khách du l?ch'],https://www.tiktok.com/discover/b%E1%BA%B1ng-l%C4%83ng-glamping-b%C3%ACnh-d%C6%B0%C6%A1ng,
Bình ??nh,Khu du l?ch C?a Bi?n Quy Nh?n,3.5,Kinh nghi?m ?i công viên n??c Thanh L? Bình D??ng chi ti?t,"Khu Kinh T?, thành ph?, Bình ??nh 820000, Vi?t Nam",https://mia.vn/media/uploads/blog-du-lich/kinh-nghiem-di-cong-vien-nuoc-thanh-le-binh-duong-chi-tiet-9-1655188296.jpg,['?i?m thu hút khách du l?ch'],https://mia.vn/cam-nang-du-lich/kinh-nghiem-di-cong-vien-nuoc-thanh-le-binh-duong-chi-tiet-6543,
Bình ??nh,T??ng Tr?n H?ng ??o,4.5,Nh?ng khu vui ch?i gi?i trí b?c nh?t n??c M?,"Q762+PP8, H?i Minh, Quy Nh?n, Bình ??nh, Vi?t Nam",https://www.evaairways-vn.com/public/uploads/data/images/fly/nhung-khu-vui-choi-giai-tri-bac-nhat-nuoc-my-1.jpg,['?i?m thu hút khách du l?ch'],https://www.evaairways-vn.com/nhung-khu-vui-choi-giai-tri-bac-nhat-nuoc-my.html,
Bình ??nh,Bãi bi?n Quy Nh?n,4.5,Núi Bà Ho? ? ?âu? - Du l?ch Quy Nh?n,"Quy Nh?n, Bình ??nh, Vi?t Nam",https://quynhonreview.com/wp-content/uploads/2022/09/nui-ba-hoa-03-quynhonreview.jpg,['Bãi bi?n'],https://quynhonreview.com/nui-ba-hoa-o-dau/,
Bình ??nh,Chùa Long Khánh,4.6,Khu du l?ch C?a Bi?n - Quy Nh?n Trip - ?i?m ??n Quy Nh?n,"141 Tr?n Cao Vân, Tr?n H?ng ??o, Quy Nh?n, Bình ??nh, Vi?t Nam",https://quynhontrip.com/wp-content/uploads/2020/10/cua-bien-quy-nhon-3.jpg,"['?i?m thu hút khách du l?ch', 'Chùa ph?t giáo']",https://quynhontrip.com/khu-du-lich-cua-bien/,
Bình ??nh,Công Viên An D??ng V??ng,4.4,"Núi Bà H?a: tin t?c, hình ?nh, video, bình lu?n m?i nh?t","P6X7+GX7, Nguy?n V?n C?, Quy Nh?n, Bình ??nh, Vi?t Nam",https://images2.thanhnien.vn/zoom/686_429/Uploaded/hoangnam/2019_09_26/5b4904495dphu_dieu_lac_long_quan_QXOH.jpg,['Công viên'],https://thanhnien.vn/nui-ba-hoa-tags684603.html,
Bình ??nh,Qu?ng tr??ng Nguy?n T?t Thành,4.6,Nh?ng ?i?u c?n bi?t v? khu du l?ch C?a Bi?n Quy Nh?n,"An D??ng V??ng, Tr?n Phú, Quy Nh?n, Bình ??nh, Vi?t Nam",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh4npdgTesgVMy6wSCCHLODhmkS6owmSwAsQPNyBfrh7G3nY0MhbV-_s874jSZDivYhqLsdjr8h6Xkg6BCddOw-EhBquLVZvA7qUVBO1e_faXxjXhzFgbvkhEOIo74-umpqUYU59DDds8M/w750/khu-du-lich-cua-bien-quy-nhon.jpg,['Công viên thành ph?'],https://www.reviewquynhon.com.vn/2021/10/nhung-dieu-can-biet-ve-khu-du-lich-cua-bien-quy-nhon.html,
Bình ??nh,Hòn ?á S?ng ?o,4.4,T??ng ?ài Tr?n H?ng ??o Nam ??nh - N?i Ai ?i Xa C?ng Mu?n V? Th?m - YouTube,"Q6F7+954, Ngô Mây, Quy Nh?n, Bình ??nh, Vi?t Nam",https://i.ytimg.com/vi/I4wVFjKGsNM/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBy-TBbAdqNZ6zVnJoq6coCjQ2KEw,['?i?m thu hút khách du l?ch'],https://www.youtube.com/watch?v=I4wVFjKGsNM,
Bình ??nh,Bãi T?m thành ph? Quy Nh?n,4.3,TOP 7 BÃI BI?N ??P QUY NH?N MÀ B?N KHÔNG TH? KHÔNG BI?T,"Q67F+4R9, Quy Nh?n, Bình ??nh, Vi?t Nam",https://quynhontourist.vn/wp-content/uploads/2021/02/Quy-Nhon-Tourist7-04.png,"['Khách s?n ngh? d??ng', 'Bãi bi?n công c?ng']",https://quynhontourist.vn/bai-bien-dep-quy-nhon/,
Bình ??nh,Núi V?ng Chua,4.9,Chùa Long Khánh - Nét ??p l?ch s? - tôn giáo tr??ng t?n h?n 300 n?m,"Q52X+2Q, Gh?nh Ráng, Quy Nh?n, Bình ??nh, Vi?t Nam","https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/8693654256033/Full-Day-Tay-Son---Ham-Ho-Tour-Going-To-The-Tam-Kiet-from-Quy-Nhon-09b255c8-5b5c-4a2e-a946-902950bb04be.jpeg?tr=q-70,h-250,w-250",['?i?m thu hút khách du l?ch'],https://www.traveloka.com/vi-vn/explore/destination/chua-long-khanh/334771,
Bình ??nh,Tháp ?ôi Quy Nh?n,4.5,"Cùng b? ?i công viên, bé 2 tu?i m?t tích bí ?n - Ngôi sao","Q6P6+FC7, Tr?n Phú, Quy Nh?n, Bình ??nh, Vi?t Nam",https://vcdn1-ngoisao.vnecdn.net/2020/08/22/bc-1-9676-1598075685.jpg?w=460&h=0&q=100&dpr=2&fit=crop&s=44rSIUKXNGEILKPIOmIPUw,['B?o tàng di s?n'],https://ngoisao.vnexpress.net/cung-bo-di-cong-vien-be-2-tuoi-mat-tich-bi-an-4150653.html,
Bình ??nh,Bãi tr?ng - khu du l?ch Gh?nh Ráng,4.2,"Profile for Qu?ng Tr??ng Nguy?n T?t Thành, TP Tuyên Quang","P6R8+W8, Gh?nh Ráng, Thành ph?, Bình ??nh, Vi?t Nam",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=100064616175565,['?i?m thu hút khách du l?ch'],https://www.facebook.com/QuangTruongNguyenTatThanh22/,
Bình ??nh,Hoa viên Nguy?n Thái H?c,3.9,T?ng h?p 3 m?m ?á s?ng ?o ? Vi?t Nam khi?n gi?i tr? phát cu?ng - iVIVU.com,"Q6FC+RQG, Nguy?n T?t Thành, Lý Th??ng Ki?t, Quy Nh?n, Bình ??nh, Vi?t Nam",https://cdn3.ivivu.com/2017/01/mom-da-song-ao-ha-tay-ivivu-1.png,['Công viên'],https://www.ivivu.com/blog/2017/01/tong-hop-3-mom-da-song-ao-o-viet-nam-khien-gioi-tre-phat-cuong/,
Bình ??nh,Khu Vui Ch?i Ch? ?êm,4.1,B? túi 5 Bãi t?m ??p nh?t Quy Nh?n nh?t ??nh B?n không th? b? qua - Khách s?n Quy Nh?n,"Q67C+JCJ, Lê Du?n, Lý Th??ng Ki?t, Quy Nh?n, Bình ??nh, Vi?t Nam",https://quynhonhotel.com/wp-content/uploads/2021/03/thanh-pho-bien-quy-nhon-thanh-pho-xinh-dep.jpg,['Ch??'],https://quynhonhotel.com/bai-tam-dep-nhat-quy-nhon/,
Bình Ph??c,Qu?ng Tr??ng 23/3,4.5,NÚI V?NG CHUA MOUNTAIN (2025) All You Need to Know BEFORE You Go (with Photos) - Tripadvisor,"GVMP+JR6, Hùng V??ng, Tân Phú, ??ng Xoài, Bình Ph??c, Vi?t Nam",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/ac/3a/25/20180713-054623-largejpg.jpg?w=900&h=500&s=1,['Công viên'],https://www.tripadvisor.in/Attraction_Review-g608528-d10034667-Reviews-Nui_Vung_Chua_Mountain-Quy_Nhon_Binh_Dinh_Province.html,
Bình Ph??c,Khu Vui ch?i Gi?i trí Á Châu,4.2,Khám phá ki?n trúc Tháp ?ôi Quy Nh?n mang d?u ?n v?n hóa Ch?m c? ??i,"HV6W+X7V, Unnamed Road, Tân Phú, ??ng Xoài, Bình Ph??c, Vi?t Nam",http://zoomtravel.vn/upload/news/thap-doi-quy-nhon21230.jpg,['?i?m thu hút khách du l?ch'],https://zoomtravel.vn/thap-doi-quy-nhon.html,
Bình Ph??c,"Công Viên Th? Gi?i Di S?n Ki?n Trúc - The Destina 2,1ha",4.9,Gh?nh Ráng Tiên Sa - Quy Nh?n Trip - ?i?m ??n Quy Nh?n,"FVXF+6H2, ?T741, Ti?n H?ng, ??ng Xoài, Bình Ph??c 67109, Vi?t Nam",https://quynhontrip.com/wp-content/uploads/2020/10/ghenh-rang-1-1.jpg,['Công viên'],https://quynhontrip.com/ghenh-rang-tien-sa/,
Bình Ph??c,H? Su?i Lam,4.3,Ng? Hoa Viên - ?i?m ??n check in c?a du khách,"JV6J+3GX, Thu?n Phú, ??ng Phú, Bình Ph??c, Vi?t Nam",https://media.vnptit3.vn/resources/portal/Images/TNN/namdan.tnn/N%C4%83m2023/Thang01/t4/z4144343223233_8317c9df8730e9bcfe17719c70fb22b6_638131919674672700.jpg,['?i?m thu hút khách du l?ch'],https://mythainguyen.vn/vi/detailnews/?t=ngu-hoa-vien-diem-den-checkin-cua-du-khach&id=news_1078,
Bình Thu?n,Red Canyon,4.1,CH? ?ÊM HELIO - ??A ?I?M VUI CH?I V? ?ÊM ? ?À N?NG,"khu ph? 4, Thành ph? Phan Thi?t, Bình Thu?n, Vi?t Nam",https://smiletravel.vn/photo/02-kinhnghiemdulich/anh-bai-viet/bai-viet-cua-yen/cho-dem-helio-dia-diem-vui-choi-ve-dem-o-da-nang/helio-1.jpg,['?i?m thu hút khách du l?ch'],https://smiletravel.vn/tin-tuc/cho-dem-helio-dia-diem-vui-choi-ve-dem-o-da-nang.html,
Bình Thu?n,??i Cát ??,4,T?nh ?y th?ng nh?t ch?n ngày 23/3/1975 làm ngày gi?i phóng t?nh Bình Ph??c,"01 Hòn R?m, ?T716, M?i Né, Thành ph? Phan Thi?t, Bình Thu?n, Vi?t Nam",https://binhphuoc.gov.vn/uploads/binhphuoc/news/2015/2697-1429929798710.jpg,['?i?m thu hút khách du l?ch'],https://binhphuoc.gov.vn/vi/news/thong-tin-chi-dao-dieu-hanh/Tinh-Uy-thong-nhat-chon-ngay-23-3-1975-lam-ngay-giai-phong-tinh-Binh-Phuoc-4401.html,
Bình Thu?n,Vita Garden Mini-Zoo,3.9,Ch?i Gì ? Công Viên Châu Á? Vì Sao B?n Nên T?i ?ây,"X735+R92, Fairy Stream Canyon, Hu?nh Thúc Kháng, Ph??ng Hàm Ti?n, Thành ph? Phan Thi?t, Bình Thu?n, Vi?t Nam",https://vietluxtour.com/Upload/images/2024/khamphatrongnuoc/Ch%C6%A1i%20g%C3%AC%20%E1%BB%9F%20c%C3%B4ng%20vi%C3%AAn%20ch%C3%A2u%20%C3%81/choi-gi-o-cong-vien-chau-a-main-min.jpg,"['?i?m thu hút khách du l?ch', 'V??n bách thú']",https://vietluxtour.com/kham-pha/choi-gi-o-cong-vien-chau-a.html,
Bình Thu?n,?I?N GIÓ ??i Phong,4.7,Khánh thành công viên Th? gi?i di s?n ki?n trúc The Destina Bình Ph??c | FBNC TV - YouTube,"X7JV+VXW, Thi?n Nghi?p, Thành ph? Phan Thi?t, Bình Thu?n, Vi?t Nam",https://i.ytimg.com/vi/WxRXMx6BUBA/maxresdefault.jpg,['?i?m thu hút khách du l?ch'],https://www.youtube.com/watch?v=WxRXMx6BUBA,
Bình Thu?n,Su?i Tiên - M?i Né,3.8,Du l?ch Bình Ph??c –Khám phá H? Su?i Lam,"40B Hu?nh Thúc Kháng, Ph??ng Hàm Ti?n, Thành ph? Phan Thi?t, Bình Thu?n, Vi?t Nam",https://vudumuc.com/wp-content/uploads/2022/12/Suoi-Lam-lake-Binh-Phuoc-7-1024x576.png,['?i?m thu hút khách du l?ch'],https://vudumuc.com/du-lich-binh-phuoc-kham-pha-ho-suoi-lam/,
Cà Mau,CÔNG TY DU L?CH ??T M?I XANH (GREENLAND TOURIST),4.6,Red Canyon Utah | Red Canyon Dixie National Forest,"01 ???ng T? An Kh??ng, Ph??ng 5, Cà Mau, 970000, Vi?t Nam",https://www.rubysinn.com/wp-content/uploads/2014/11/redcanyon-utah.jpg,"['Th?ng c?nh', '??i lý vé máy bay', '??i lý cho thuê xe ô tô', '?i?m thu hút khách du l?ch', '??i lý du l?ch tham quan', 'Nhà ?i?u hành du l?ch', 'Trung tâm thông tin du l?ch', '??i lý du l?ch']",https://www.rubysinn.com/red-canyon-utah/,
Cà Mau,Khu T??ng ni?m Ch? t?ch H? Chí Minh,4.4,"??i cát bay - M?i Né Bình Thu?n, Vi?t Nam","Ngô Quy?n, Ph??ng 1, Tp. Cà Mau, Cà Mau, Vi?t Nam",https://media.gody.vn/images/binh-thuan/doi-cat-bay/10-2016/20161021033927-doi-cat-bay-mui-ne-gody%20(4).jpg,['Công viên l?u ni?m'],https://gody.vn/chau-a/viet-nam/binh-thuan/doi-cat-bay,
Cà Mau,Ch? n?i Cà Mau,4.2,"Vita Garden Mini-Zoo - Picture of Vita Garden Mini-Zoo, Phan Thiet - Tripadvisor","Ph??ng 7, Cà Mau, Vi?t Nam",https://media-cdn.tripadvisor.com/media/photo-s/0a/16/98/8b/vita-garden-mini-zoo.jpg,"['Ch? tr?i', 'Ch? n?i', 'Ch??']",https://www.tripadvisor.in/LocationPhotoDirectLink-g298086-d9748338-i169253003-Vita_Garden_Mini_Zoo-Phan_Thiet_Binh_Thuan_Province.html,
Cà Mau,?ình Làng Tân H?ng,4.3,?i?n gió ??i Phong,"44RH+7MV, QL1A, Lý V?n Lâm, Tp. Cà Mau, Cà Mau, Vi?t Nam",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=144930763999672,['??a ?i?m l?ch s?'],https://www.facebook.com/DiengioDaiPhong/?locale=vi_VN,
Cà Mau,V??n C?a Trâm,4.3,Fairy Stream Mui Ne: A cannot-miss natural attraction,"639 Vành ?ai 1, Ph??ng 9, Cà Mau, Vi?t Nam",https://static.vinwonders.com/production/Things-to-do-on-your-excursion-to-Fairy-Stream-Mui-Ne.jpg,['??i lý du l?ch'],https://vinwonders.com/en/wonderpedia/news/fairy-stream-mui-ne/,
Cà Mau,Khu Du L?ch Sinh Thái Th? Duy,4.2, Du L?ch ??t M?i Xanh Cà Mau - GreenLand Tourist,"323 ?. Lý Th??ng Ki?t, Khóm 9, Cà Mau, 970000, Vi?t Nam",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=1164083979051779,['Khách s?n ngh? d??ng'],https://www.facebook.com/Tourdatmui/posts/ch%C3%BAc-m%E1%BB%ABng-khu-du-l%E1%BB%8Bch-m%C5%A9i-c%C3%A0-mau-%C4%91%C6%B0%E1%BB%A3c-trao-ch%E1%BB%A9ng-nh%E1%BA%ADn-%C4%91i%E1%BB%83m-%C4%91%E1%BA%BFn-du-l%E1%BB%8Bch-h%E1%BA%A5p-d%E1%BA%ABn-t/1164084425718401/,
Cà Mau,Cafe V??n Chim Cà Mau,4.1,Khu t??ng ni?m Ch? t?ch H? Chí Minh,"54PP+3QC, Unnamed, Road, Cà Mau, Vi?t Nam",https://fileapidulich.surelrn.vn/Upload/VietNam/CaMau/Place/Picture/R637098681296267540.png,['Quán cà phê'],https://camautourism.vn/dia-diem/khu-tuong-niem-chu-tich-ho-chi-minh-11566.html,
Cà Mau,Cafe Koi 2,4,Ch? n?i Cà Mau là ni?m t? hào cho ngành du l?ch mi?n tây,"???ng ?inh Tiên Hoàng, Khóm 2, Cà Mau, 98106, Vi?t Nam",https://123di.vn/wp-content/uploads/2020/08/cho-noi-ca-mau-8_optimized.jpg,"['Nhà hàng', 'Quán cà phê']",https://123di.vn/cho-noi-ca-mau-la-niem-tu-hao-cho-nganh-du-lich-mien-tay/,
Cà Mau,M??ng Thanh CaMau,4.5,?ÌNH TÂN H?NG,"06 Lê Du?n, Ph??ng 1, Cà Mau, Vi?t Nam",http://ditichkhanhhoa.org.vn/Portals/0/DINH%20TAN%20HUNG_0527.JPG,['Khách s?n'],http://ditichkhanhhoa.org.vn/vi-vn/noi-dung/id/4791/DINH-TAN-HUNG,
Cà Mau,Khu Du L?ch Sinh Thái Cà Mau Eco,3.8,Quán Cafe V??n Trâm: ?i?m Check-in Tuy?t ??p | TikTok,"?p V? D?i, Tr?n V?n Th?i, Cà Mau, Vi?t Nam",https://www.tiktok.com/api/img/?itemId=7368824586697329927&location=0&aid=1988,['?i?m thu hút khách du l?ch'],https://www.tiktok.com/@lamphuongvlogcamau/video/7368824586697329927,
Cà Mau,Trung tâm gi?i quy?t th? t?c Hành chính t?nh Cà Mau,3.4,Khu Du L?ch Sinh Thái Th? Duy . Thành Ph? Cà Mau 2021. - YouTube,"t?ng 1,2 toà nhà VIETTEL, 298 ?. Tr?n H?ng ??o, Ph??ng 5, Cà Mau, Vi?t Nam",https://i.ytimg.com/vi/5jK6pZDMlJs/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLD392pKh61ZQsDA4rnDnIacGJxz4g,['V?n phòng chính quy?n ??a ph??ng'],https://www.youtube.com/watch?v=Hi--bjRBbZc,
Cà Mau,KDL sinh thái - Farmstay: Hoa R??ng U Minh,4.2,Profile for Ti?m Trà Và Coffee Nh?,"72F6+X8, Khánh An, U Minh, Cà Mau, Vi?t Nam",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=100086978274010,['?i?m thu hút khách du l?ch'],https://www.facebook.com/people/Ti%E1%BB%87m-Tr%C3%A0-V%C3%A0-Coffee-Nh%E1%BB%8F/100086978274010/,
