Province,Title,Rating,Price,Address,Phone,Link,Service,Image,
An Giang,DANH KÝ [??] MÌ S?I C?O - H? TI?U M?C,4,"?1–100,000","318 Lý Thái T?, Ph??ng M? Xuyên, Thành ph? Long Xuyên, An Giang 880000, Vietnam",+84 911 199 007,http://hutieudanhquan.io/,"[['Curbside pickup', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOiXdUf7PBaM2ITlK0PH55jmSvxBvOH19zRSlt4=w92-h92-k-no,
An Giang,Lâ?u trâu Kiê?u Thu,4.2,,"122 ?. Phó ??c Chính, p. Bình Khánh, Thành ph? Long Xuyên, An Giang, Vietnam",+84 296 3857 676,https://www.foody.vn/an-giang/lau-trau-kieu-thu,"[['Outdoor seating', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMZyOc0EjxtSwZESGRm9QyHuiGNeIuSxSnH7tlR=w122-h92-k-no,
An Giang,Qua?n ?n Sa?ng U?t Châu,4,,"10 H?m Nguy?n Du, P. M? Bình, Thành ph? Long Xuyên, An Giang, Vietnam",,,"[['Takeout', 'Dine-in']]",,
An Giang,Nem N??ng Duyên H?i,4.4,"?1–100,000","70 Ph?m C? L??ng, M? Quý, Thành ph? Long Xuyên, An Giang, Vietnam",+84 916 899 675,,"[['Delivery', 'Drive-through', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMlobHFb8l_IvBP_7PgzdMEHi6Vv7hhEXyr_kZ6=w122-h92-k-no,
An Giang,?m th?c Sông H? T??u,4,,"???ng Bùi V?n Danh, M? Hoà, Thành ph? Long Xuyên, An Giang, Vietnam",+84 915 234 609,,"[['Outdoor seating', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMnD3QUDTbi9WivLIZf4s5sFjVVcpQ6sYNc3K6t=w122-h92-k-no,
An Giang,Quán ?n Ph??ng Tuy?n,4.7,,"26 Tr?n H?ng ??o, P. M? Th?i, Thành ph? Long Xuyên, An Giang, Vietnam",+84 919 755 736,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMe5srzRUPvU38EDfi30wbMQkVrNYQJk12wsIzG=w92-h92-k-no,
An Giang,Quán ?n H??ng Ánh,5,,"8FW5+XWF, Tr?n Quang Kh?i, P. M? Th?i, Thành ph? Long Xuyên, An Giang, Vietnam",+84 985 394 169,,"[['Takeout', 'Dine-in']]",,
An Giang,Quán C?m Thúy An,4.3,,"Ng. 181 Võ Th? Sáu, Ph??ng M? Xuyên, Thành ph? Long Xuyên, An Giang, Vietnam",,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOkl-ox1ewQqTdaOaoPvpJqFR6YbJwU_BnG5TxE=w80-h142-k-no,
An Giang,Quán nh?u cây D?a,4.5,,"C94P+V6, P. Bình ??c, Thành ph? Long Xuyên, An Giang, Vietnam",+84 913 130 250,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMAOrMkb37ZBWASBS-JjrLK3adho_NfL6xSQ5_T=w80-h106-k-no,
An Giang,Quán B? Sông,3.9,,"6/1A Bùi V?n Danh, M? Hoà, Thành ph? Long Xuyên, An Giang, Vietnam",+84 296 3921 818,http://facebook.com/quanbosonglxag,"[['Outdoor seating', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNafOXe0Fg6uUH5nDa2uy0tsZBZerZZHT_HxE8v=w163-h92-k-no,
V?ng Tàu,Quán 3 Cây Bàng,4.1,$$,"???ng 31, Hoà Long, Bà R?a, Bà R?a - V?ng Tàu, Vietnam",+84 254 3821 616,,"[['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPpS25mZi-MGkbNDiEPa3dedkx6t_T0ygbN7klW=w122-h92-k-no,
V?ng Tàu,Nhà Hàng Gia | Bà R?a V?ng Tàu,4.6,,"595 Pha?m V?n ??ng, Ph??c Nguy?n, Bà R?a, Bà R?a - V?ng Tàu 000084, Vietnam",+84 933 412 929,,"[['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOQuggRt8LvtdWQjLK_gtLIrRjZHaVHRUSyiJW8=w163-h92-k-no,
V?ng Tàu,Quán Sáu Mai,3.9,$,"1989, ?i?n Biên Ph?, Ph??ng Ph??c Hi?p, Bà R?a - V?ng Tàu, Vietnam",+84 898 907 908,,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOYKW8D_OosyOoSuBc2eQFW6RTrNjA3xjWTKeXt=w122-h92-k-no,
V?ng Tàu,Miss. Nga Fish Springroll,4.4,"?1–100,000","H6F5+V3G, ???ng s? 43, Ngh?a Thành, Châu ??c, Bà R?a - V?ng Tàu, Vietnam",+84 982 981 207,,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipO2BkxWAzNkUuqmySMWjPOjAySePi2WRMqi2oUN=w122-h92-k-no,
V?ng Tàu,V?t Nhã Ph??ng - Món ?n ngon Bà R?a,4.3,,"141 ?i?n Biên Ph?, Ph??c Nguy?n, Bà R?a, Bà R?a - V?ng Tàu, Vietnam",+84 902 656 762,,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPopz5NA8qEAYb_qfVN-m2QIz3Tha8YBHbELUpl=w138-h92-k-no,
V?ng Tàu,Truong Cua Restaurant,4.1,$$,"18 Hoàng Hoa Thám, Long Tâm, Bà R?a, Bà R?a - V?ng Tàu, Vietnam",+84 988 222 774,,"[['Outdoor seating', 'Curbside pickup', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMuVk_feMvvVjaaqtFjhSNjzHQDeTwlqcv8qS3y=w122-h92-k-no,
V?ng Tàu,Dê Gia Phát 8,5,,"G684+6PC, ?. Võ V?n Ki?t, Hoà Long, Bà R?a, Bà R?a - V?ng Tàu, Vietnam",+84 989 496 771,,"[['Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOA1c7WqIRBLflx1-whtIfJpLVRhUCELa1yXb9l=w80-h106-k-no,
V?ng Tàu,Quan Oc Gai,4,$$,"252 Nguy?n V?n Linh, Ph??c Nguy?n, Bà R?a, Bà R?a - V?ng Tàu, Vietnam",+84 925 505 152,,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMmv__hRJn3esBOGRhx90cqhJkm508rwy4IuAYd=w122-h92-k-no,
V?ng Tàu,L?u M?ng Khánh Hà BÀ R?A,4.4,,"455/2 Cách M?ng Tháng Tám, Ph??c Nguy?n, Bà R?a, Bà R?a - V?ng Tàu, Vietnam",+84 937 886 680,https://www.foody.vn/vung-tau/khanh-ha-lau-mang,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMbUNcduCvwQ_iAi3EBz31QmrZP0IXGY8IFRxyY=w122-h92-k-no,
V?ng Tàu,BÁNH CANH LONG H??NG - C?ng chào thành ph? Bà R?a,3.9,"?1–100,000","11 Cách M?ng Tháng Tám, Long H??ng, Bà R?a, Bà R?a - V?ng Tàu, Vietnam",+84 254 3827 453,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMPoukJFnTrubaOupQBdRDZpZP7nTTo5205xvho=w163-h92-k-no,
V?ng Tàu,Nhà Hàng B? Sông,3.8,$$,"1100 QL51, Ph??c Thái, Long Thành, Bà R?a - V?ng Tàu 78000, Vietnam",+84 937 197 474,,"[['Outdoor seating', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOpDDEPbp6TBYPD4hJAM1FIxv6ArCOpPVNmhW4m=w163-h92-k-no,
V?ng Tàu,Bánh h?i An Nh?t,4.1,"?1–100,000","F6PW+HPJ, QL55, An Nh?t, Long ?i?n, Bà R?a - V?ng Tàu, Vietnam",+84 254 3862 359,,"[['Outdoor seating', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMAIO64hkcPkBhHH0D7C8wB_VUOMKT18F-DintG=w163-h92-k-no,
V?ng Tàu,Quán ch? giò cá Bà R?a,4.3,"?1–100,000","143 Nguy?n V?n Linh, Ph??c Nguy?n, Bà R?a, Bà R?a - V?ng Tàu, Vietnam",,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPcKgjJRnqGCqN5S78RwdrtdhfQLPX6PVar3qEA=w122-h92-k-no,
V?ng Tàu,NHÀ HÀNG SÂN V??N SAIGONOK,4,,"34 Cách M?ng Tháng Tám, Long H??ng, Bà R?a, Bà R?a - V?ng Tàu 790000, Vietnam",+84 254 3824 769,,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMg_mtFK_25ETx3DvX3erVQ7scM4atbYPcwhY53=w163-h92-k-no,
V?ng Tàu,THO-R Restaurant - ?m th?c châu Âu nguyên li?u Vi?t,3.6,,"345 ???ng Nguy?n V?n Linh, Ph??c Nguy?n, Bà R?a, Bà R?a - V?ng Tàu 78150, Vietnam",,https://www.facebook.com/THOR.Restaurant,"[['No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPepmBbVbQjIdSDxIwEnAPhLZ8l3eNTFKnrdbA=w122-h92-k-no,
V?ng Tàu,Quán C?m Niêu Hoa S?a Bà R?a,3.6,,"568 Ph?m Hùng, Ph??c Trung, Bà R?a, Bà R?a - V?ng Tàu, Vietnam",+84 983 627 562,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipO_ssA04BjX71RetlfOibLoeY2DlzohHe1HiPMF=w122-h92-k-no,
V?ng Tàu,Bánh canh Cô Ninh - ??c s?n Mi?n Trung,4,,"98B Lê Du?n, Ph??c Nguy?n, Bà R?a, Bà R?a - V?ng Tàu, Vietnam",,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMwSMtZSBQMbNel0KkUtCwWAxeTifv5rdjwj7-6=w122-h92-k-no,
V?ng Tàu,?m th?c sân v??n MÁI LÁ,4.7,,"???ng S? 16, Tân H?ng, Bà R?a, Bà R?a - V?ng Tàu, Vietnam",+84 931 222 730,,"[['Outdoor seating', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMj-Jd48Br_soTN0mbojGuq_Jgd9HP2kylx2JDT=w122-h92-k-no,
V?ng Tàu,Quán ?n sáng nhung,4.5,,"411 Hu?nh T?n Phát, Ph??c Hi?p, Bà R?a, Bà R?a - V?ng Tàu, Vietnam",,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipN3YEvokUoW0WXkU2rgIt0DlTxgUVZ_NKEXCD7J=w204-h92-k-no,
V?ng Tàu,The Seven Island Ecolodge,3.6,,"???ng s? 9N, ?p Ph??c H?u, xã, Long Ph??c, Tp. Bà R?a, Bà R?a - V?ng Tàu, Vietnam",+84 976 176 500,https://tuphuongthatdao.com/,"[['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMWYglF8u3Ryrw0ma9Z5QDLoF5525kHR0SHgrlK=w122-h92-k-no,
B?c Liêu,??c s?n BÁNH CANH CUA - Coffee & quán ?n NGÂN TH?O,4.9,"?1–100,000","464 Tr?n Phú, Khóm 1, B?c Liêu, Vietnam",+84 909 790 737,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipO1gLJKQT6zjne3w5Ar0aZrwyKK_3YENWbk6Zo7=w122-h92-k-no,
B?c Liêu,Bún xào nem n??ng B?ng Tâm (ngon),4.5,"?1–100,000","516 Võ Th? Sáu, Ph??ng 3, B?c Liêu, Vietnam",+84 919 646 498,,"[['Outdoor seating', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMB8kTj8dUcjoIDc1GWbY3E7nobERsX0IPMJ_Gn=w163-h92-k-no,
B?c Liêu,Nhà hàng Thuy?n Tr?ng Quán,4.1,,"128 Võ Th? Sáu, Ph??ng 8, B?c Liêu, Vietnam",+84 291 3822 888,,"[['Outdoor seating', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPPG-aNkAyEZEnYzZLDsY4i3hJzmFE84s9KGo-E=w122-h92-k-no,
B?c Liêu,Mam Lau Hong Gam,4,$$,"???ng T?nh L? 38/3/225b Nguy?n Th? Minh Khai, Ph??ng 5, B?c Liêu, Vietnam",+84 291 3821 237,http://www.facebook.com/laumamhonggambaclieu,"[['No-contact delivery', 'Delivery', 'In-store pickup', 'Takeout', 'Dine-in', 'Same-day delivery']]",https://lh5.googleusercontent.com/p/AF1QipMONye3a9aUSWoqGVh6OTrZ5eLKDmSJH7brorJB=w122-h92-k-no,
B?c Liêu,?m Th?c B?c Liêu,4.6,,"38B/4, Kho?m 2, B?c Liêu, Vietnam",+84 945 675 695,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMwWwGvktk5ku32YHMcJ5T_Gben38vwMw4_Q4W7=w122-h92-k-no,
B?c Liêu,Bánh c? c?i,4.3,,"142 Cách M?ng, Ph??ng 1, B?c Liêu, Vietnam",,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPNCA9hd-hCHDRCJhICj2m6CeKsg3OyLBt9lCAc=w80-h106-k-no,
B?c Liêu,Nem N??ng T? Vân,4.4,"?1–100,000","20 Hà Huy T?p, Ph??ng 3, B?c Liêu, Vietnam",+84 939 553 980,,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPAFi8qrpfQv5iM6f1u9QwNQHB2pZy1d9_GTk8O=w163-h92-k-no,
B?c Liêu,BÚN BÒ CAY 999 ??C S?N B?C LIÊU,5,,"Sau l?ng tr??ng công l?p, ???ng Hoà bình n?i dài, B?c Liêu, 84291, Vietnam",+84 919 627 474,,"[['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipP6OFzqmpM06SzCRUowDqcFAhTWrVW1sFzhX5dZ=w122-h92-k-no,
B?c Liêu,?m th?c sân v??n Ba Lúa,4,,"192 23 Tháng 8, Ph??ng 8, B?c Liêu, Vietnam",+84 291 3696 789,,"[['Outdoor seating', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNAK6afChO-Ostd-PfZRw747oZioI0gcwGY7wC6=w122-h92-k-no,
B?c Liêu,Quan 58 Hotel,4,,"187 Hoàng Di?u, Ph??ng 1, B?c Liêu, Vietnam",+84 949 484 458,http://quan58baclieu.com/,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOvrNImALesHQKIhW1GCrrWBrHoP9jvU0Y_L4O-=w122-h92-k-no,
B?c Liêu,??c S?n B?c Liêu,4.1,,"6PCQ+H33, Ph??ng Nhà Mát, B?c Liêu, Vietnam",+84 946 588 559,,"[['Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipM6AYcIeLTCPSMMLuSa5ERjxmwWl-jW_0QvAfZv=w147-h92-k-no,
B?c Liêu,Bún n??c lèo Tân M?ng Th??ng,4.6,"?1–100,000","166 Võ Th? Sáu, Ph??ng 8, B?c Liêu, Vietnam",+84 943 183 010,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOaGVMtHl0m68OIdb8amx1OWVPujUdeEdlt9h8i=w163-h92-k-no,
B?c Liêu,Nhà Hàng Gia L?c,4.9,,"phan v?n xoàn, Ph??ng 2, B?c Liêu, 970000, Vietnam",+84 919 447 777,,"[['Outdoor seating', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipO3-eJxS6Kf6fL2Bt6_akbfrK9lG7xuJu_fN1KH=w135-h92-k-no,
B?c Liêu,Bún n??c lèo N?m H?n,4,"?1–100,000","649 Tr?n Phú, Ph??ng 7, B?c Liêu, Vietnam",,,"[['Outdoor seating', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOVIz4ZkKA_YarZ8FFJa2f_1bHeWuXZPhbYFWo1=w122-h92-k-no,
B?c Liêu,??c s?n bánh canh Tr?n Mai,5,,"37d 4 Tr?n Hu?nh, Ph??ng 3, B?c Liêu, 84291, Vietnam",,,"[['Takeout', 'Dine-in']]",,
B?c Liêu,Ph? Hà N?i Th?nh ??t,4,"?1–200,000","137/5 ?. Võ V?n Ki?t, Ph??ng 1, B?c Liêu, Vietnam",+84 918 621 383,https://www.facebook.com/profile.php?id=61550217446490,[None],https://lh5.googleusercontent.com/p/AF1QipOGxT7jdMSYWx2Kb2b2Pco_tsGjz6XV1SkldWqA=w163-h92-k-no,
B?c Liêu,Bún Bò Cay B?c Liêu ÁNH NGUY?T,3.9,"?1–100,000","119 Cao V?n L?u, Ph??ng 5, B?c Liêu, Vietnam",+84 917 449 998,,"[['Outdoor seating', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipM7ghO2FlvVSvjguHpVBnherEAVNUri26GkDYVO=w92-h92-k-no,
B?c Liêu,Quán C?m 63,4.1,,"63 ???ng Lý Th??ng Ki?t, Ph??ng 3, B?c Liêu, Vietnam",+84 291 3823 152,,"[['Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNyy-Q4NIqqtRpMTLlMHLeLT9eBAL38wXrp8Yti=w122-h92-k-no,
B?c Liêu,GoGi House Go B?c Liêu,4.9,,"TTTM Go, 23 Tháng 8, Ph??ng 7, B?c Liêu, 260000, Vietnam",+84 291 7300 338,https://gogi.com.vn/,[['Dine-in']],https://lh5.googleusercontent.com/p/AF1QipPpTBIvKfxu6txiVOXkgM2a5yeeYr494lzuSWBQ=w122-h92-k-no,
B?c Liêu,Quán ?n ?m Th?c 62,4.4,,"Ph??ng 2, B?c Liêu, Vietnam",+84 919 927 425,,"[['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPWdJvbPvCP7FzP-3V2nGf3sGSotD68WLrtfa84=w80-h106-k-no,
B?c Giang,??c S?n Chè Bà N?m,4.3,,"19 Ti?n Giang, Ph??ng Lê L?i, B?c Giang, Vietnam",+84 987 124 034,,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNvV1L4yhcXzt-vNrNSItbUxHt3yLr_6x16-ULy=w80-h169-k-no,
B?c Giang,Nhà hàng Sáu - ??c s?n Cháo Mi?n L??n,4.1,"?1–100,000","52 Nguy?n V?n M?n, Ph??ng Tr?n Phú, B?c Giang, 23000, Vietnam",+84 915 158 258,https://www.facebook.com/Nh%C3%A0-h%C3%A0ng-S%C3%A1u-%C4%90%E1%BA%B7c-s%E1%BA%A3n-Ch%C3%A1o-Mi%E1%BA%BFn-L%C6%B0%C6%A1n-1926017717711981/,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNDbNGhpQBk8ICNS__fO1g2CFg8FWsbQGJ5Yey8=w80-h106-k-no,
B?c Giang,L?u N?m Hoàng Ph? - TP. B?c Giang ( CN CÔNG TY CP D?CH V? GOLDSUN),4.1,,"269 Nguy?n Th? Minh Khai, D?nh K?, B?c Giang, 26120, Vietnam",+84 915 899 696,http://launamhoangpho.vn/,"[['Curbside pickup', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMc4BsRPgaoZ4OTTonLy5ec5-SmonLlMKhSmG7q=w122-h92-k-no,
B?c Giang,Nhà Hàng H?i S?n Gh? Xanh B?c Giang,4.5,,"3 Hùng V??ng 1, Ph??ng Lê L?i, B?c Giang, Vietnam",+84 916 884 848,https://haisanghexanh.com/,[None],https://lh5.googleusercontent.com/p/AF1QipOWGgaIpkmPSBdwhC_VSe49ojlv4ALuOwCUnzjj=w122-h92-k-no,
B?c Giang,Nhà Hàng ??c S?n Chim,4.2,,"35 ?. Mai S?u, ?a Mai, B?c Giang, Vietnam",+84 204 3857 060,,"[['Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipPIhi6_KDXafUadync8OhahNA_DfJxTnIET9HsI=w80-h106-k-no,
B?c Giang,Nhà Hàng Cua ??,4.5,,"64 Châu Xuyên, Ph??ng Lê L?i, B?c Giang, Vietnam",+84 848 288 388,,"[['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipOZ9sdIjDPgaizo2dUl_WXcGNYsvCm4jzyleWTI=w122-h92-k-no,
B?c Giang,B?c Giang. Trâu t??i Anh ?ào 36,4.1,,"ngõ 62 Lý T? Tr?ng, X??ng Giang, B?c Giang, Vietnam",+84 914 627 234,https://www.facebook.com/nhahanganhdao36,"[['Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNzWRSOTqY3TOmWHuyAZPjbt_O1i5Y99hJHnyW9=w122-h92-k-no,
B?c Giang,??c S?n Chè Bà N?m,4.3,,"19 Ti?n Giang, Ph??ng Lê L?i, B?c Giang, Vietnam",+84 987 124 034,,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNvV1L4yhcXzt-vNrNSItbUxHt3yLr_6x16-ULy=w80-h169-k-no,
B?c Giang,Nhà hàng Sáu - ??c s?n Cháo Mi?n L??n,4.1,"?1–100,000","52 Nguy?n V?n M?n, Ph??ng Tr?n Phú, B?c Giang, 23000, Vietnam",+84 915 158 258,https://www.facebook.com/Nh%C3%A0-h%C3%A0ng-S%C3%A1u-%C4%90%E1%BA%B7c-s%E1%BA%A3n-Ch%C3%A1o-Mi%E1%BA%BFn-L%C6%B0%C6%A1n-1926017717711981/,"[['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipNDbNGhpQBk8ICNS__fO1g2CFg8FWsbQGJ5Yey8=w80-h106-k-no,
B?c Giang,L?u N?m Hoàng Ph? - TP. B?c Giang ( CN CÔNG TY CP D?CH V? GOLDSUN),4.1,,"269 Nguy?n Th? Minh Khai, D?nh K?, B?c Giang, 26120, Vietnam",+84 915 899 696,http://launamhoangpho.vn/,"[['Curbside pickup', 'No-contact delivery', 'Delivery', 'Drive-through', 'Takeout', 'Dine-in']]",https://lh5.googleusercontent.com/p/AF1QipMc4BsRPgaoZ4OTTonLy5ec5-SmonLlMKhSmG7q=w122-h92-k-no,
